communityn,detailaddr,area_id,districtna,zone_numbe,buildyear,carparkcou,buildingar,plotratio,pmfee,developer,greeningra,totalhouse,totalbuild,standard_p,specialpri,residentia,longitude,latitude
新源里东小区,北京市朝阳区新东路新源里东小区,5,朝阳区,110105,1965,1000,60145.31,1,0.5,北京住总房地产开发有限责任公司,30,843,17,68866, ,住宅,116.4436216,39.94987285
三源里小区,北京市朝阳区三元桥三源里小区,5,朝阳区,110105,1981, ,59866,2.19,0.85,北京住总房地产开发有限公司,40,794,8,65897, ,住宅,116.4462246,39.95336621
草桥东路16号院,北京市丰台区草桥东路16号院,6,丰台区,110106,2000,201,12809.41,2.3,1.7,北京市华野房地产开发有限公司,30,168,1,57665, ,住宅,116.3539254,39.8441848
金丰园,北京市丰台区万柳路金丰园,6,丰台区,110106,1983,67,24703.25,2.3,0.85,北京高德房地产有限责任公司,30,300,3,52586, ,住宅,116.3096305,39.8490901
北礼士路149号楼,北京市西城区北礼士路149号楼,4,西城区,110102,1991,500,9610.64,2.9,1.8,无,20,272,1,108618, ,住宅,116.3470344,39.92492037
铜厂子胡同小区,北京市东城区铜厂子胡同小区,3,东城区,110101,1977, ,3313.2,1.6,0,北京市东城区房屋建设开发公司,15,75,1,97533, ,住宅,116.4315542,39.93572713
百万庄大街21号院,北京市西城区百万庄大街21号院,4,西城区,110102,2012,180,21378.88,1.9,1.79,无,40,378,3,116557, ,住宅,116.3402891,39.92751777
燕华苑,北京市朝阳区建外大街24号燕华苑,5,朝阳区,110105,1998,450,22444.77,5.04,6,北京天鸿集团公司,35,222,1,60249, ,住宅,116.4332436,39.90495393
新仓路2号院,北京市通州区新仓路2号院,11,通州区,110112,2006,313,11867.32,2.67,1.58,北京实地房地产开发有限公司,30,348,2,46533, ,住宅,116.6436239,39.90549433
北苑南路24号院,北京市通州区北苑南路24号院,11,通州区,110112,2001,102,8781.7,1.82,0.65,无,20,114,2,41832, ,住宅,116.6348082,39.90011296
椿楸嘉园,北京市海淀区旱河路椿楸嘉园,8,海淀区,110108,2004,1768,337834.49,3.5,0,无,30,1920,21,41760,回迁房,住宅,116.2453987,39.93585382
车站东街甲5号院,北京市西城区广安门车站东街甲5号车站东街甲5号院,4,西城区,110102,2004,18,7905.04,1.67,0,北京住总集团有限责任公司,30,342,3,97544, ,住宅,116.3394815,39.88699724
南线阁5号院,北京市西城区广安门内大街南线阁5号院,4,西城区,110102,1972,120,99763.42,5,0.5,北京华川经济贸易开发公司,30,255,2,85833, ,住宅,116.345656,39.88746308
荣丰2008,北京市西城区广安门外大街305号荣丰2008,4,西城区,110102,2001,800,286347.51,3.03,2.5,北京荣丰房地产开发有限公司,36,6363,18,97261, ,住宅,116.330635,39.89329557
北关小区,北京市延庆区高塔路北关小区,19,延庆区,110119,2016,507,158938.81,1.8,0,无,20,564,11,20530, ,住宅,115.9616086,40.46270244
长椿街东里,北京市西城区长椿街东里,4,西城区,110102,1973, ,24893.42,1.6,0.8,北京市房屋管理局,20,417,7,98720, ,住宅,116.3588512,39.89716426
厂洼西街10号院,北京市海淀区厂洼西街10号院,8,海淀区,110108,1998,100,67818.61,2,1.36,北京长廓房地产开发有限公司,30,774,4,86709, ,住宅,116.2936061,39.95309901
革新里小区,北京市东城区永定门外大街革新里小区,3,东城区,110101,2000,80,71791.6,3,0.3,北京城市建设工程开发公司,28,403,6,62924, ,住宅,116.3903072,39.86558454
糕点八厂,北京市石景山区金顶东街糕点八厂,7,石景山区,110107,1980,10,2671.27,2,0.65,北京首钢房地产开发有限公司, ,30,1,41625, ,住宅,116.166133,39.92836083
葡萄园,北京市西城区农展馆路葡萄园,4,西城区,110102,1954, ,63683.65,3.2,0.66,北京市房地局开发有限公司,28,168,6,100353, ,住宅,116.3370205,39.93013056
朝阳庵小区,北京市西城区三里河路朝阳庵小区,4,西城区,110102,1986, ,59274.75,1.2,2,五矿房地产有限公司,35,1047,20,106827, ,住宅,116.3292313,39.93285545
太平湖小区,北京市海淀区德胜门西大街5号太平湖小区,8,海淀区,110108,1996,300,42197.7,1.16,0.5,北京城建集团,26,744,8,91386, ,住宅,116.3566316,39.94652838
